Elo	Username	W	L	T	Last update
1045	Madamadam2	1	1	0	Mon Jul 11 2022 11:40:42 GMT+0000 (Greenwich Mean Time)
1045	shoddy stream	1	0	0	Sun May 29 2022 06:56:58 GMT+0000 (Greenwich Mean Time)
1000	lhce628	0	1	0	Mon Jul 11 2022 11:40:42 GMT+0000 (Greenwich Mean Time)
