Elo	Username	W	L	T	Last update
1209.652389095214	lhce628	7	1	0	Sat Jun 11 2022 19:33:33 GMT+0000 (Greenwich Mean Time)
1183.1336549580744	Takatk	9	3	0	Thu Jun 09 2022 18:28:46 GMT+0000 (Greenwich Mean Time)
1065.9371767575417	Madamadam2	3	11	0	Tue Jun 14 2022 16:45:58 GMT+0000 (Greenwich Mean Time)
1055.4563341697162	Shazamt	1	0	0	Tue Jun 14 2022 16:45:58 GMT+0000 (Greenwich Mean Time)
1037.9135935736763	Theygetintofights	1	1	0	Tue Jun 07 2022 15:41:14 GMT+0000 (Greenwich Mean Time)
1000	Bruriah	0	3	0	Thu Jun 09 2022 11:10:50 GMT+0000 (Greenwich Mean Time)
1000	cyclonez_	0	2	0	Mon Jun 06 2022 18:56:32 GMT+0000 (Greenwich Mean Time)
